C:\Users\Saeid\Downloads\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 0, took 26389 cycles
Sample 1, took 12979 cycles
Sample 2, took 8925 cycles
Sample 3, took 9139 cycles
Sample 4, took 11177 cycles
Sample 5, took 7781 cycles
Sample 6, took 9213 cycles
Sample 7, took 5754 cycles
Sample 8, took 4878 cycles
Sample 9, took 4856 cycles
Sample 10, took 5359 cycles
Sample 11, took 4961 cycles
Sample 12, took 4842 cycles
Sample 13, took 5682 cycles
Sample 14, took 6412 cycles
Sample 15, took 5258 cycles
Sample 16, took 4997 cycles
Sample 17, took 4963 cycles
Sample 18, took 5283 cycles
Sample 19, took 5142 cycles
Sample 20, took 5136 cycles
Sample 21, took 5563 cycles
Sample 22, took 6303 cycles
Sample 23, took 5374 cycles
Sample 24, took 5009 cycles
Sample 25, took 10237 cycles
Sample 26, took 7706 cycles
Sample 27, took 6360 cycles
Sample 28, took 5267 cycles
Sample 29, took 4834 cycles
Sample 30, took 4841 cycles
Sample 31, took 5704 cycles
Sample 32, took 5656 cycles
Sample 33, took 6252 cycles
Sample 34, took 6332 cycles
Sample 35, took 5912 cycles
Sample 36, took 5226 cycles
Sample 37, took 4874 cycles
Sample 38, took 4805 cycles
Sample 39, took 5711 cycles
Sample 40, took 5684 cycles
Sample 41, took 6186 cycles
Sample 42, took 6192 cycles
Sample 43, took 5891 cycles
Sample 44, took 5730 cycles
Sample 45, took 5477 cycles
Sample 46, took 9183 cycles
Sample 47, took 9123 cycles
Sample 48, took 5389 cycles
Sample 49, took 9042 cycles
Sample 50, took 63404 cycles
Sample 51, took 15269 cycles
Sample 52, took 11639 cycles
Sample 53, took 10362 cycles
Sample 54, took 8361 cycles
Sample 55, took 5330 cycles
Sample 56, took 5821 cycles
Sample 57, took 5104 cycles
Sample 58, took 4813 cycles
Sample 59, took 7666 cycles
Sample 60, took 10447 cycles
Sample 61, took 14414 cycles
Sample 62, took 11338 cycles
Sample 63, took 13765 cycles
Sample 64, took 14481 cycles
Sample 65, took 19211 cycles
Sample 66, took 15441 cycles
Sample 67, took 11705 cycles
Sample 68, took 5868 cycles
Sample 69, took 5063 cycles
Sample 70, took 4956 cycles
Sample 71, took 5482 cycles
Sample 72, took 9054 cycles
Sample 73, took 5963 cycles
Sample 74, took 6204 cycles
Sample 75, took 6863 cycles
Sample 76, took 5490 cycles
Sample 77, took 5061 cycles
Sample 78, took 4960 cycles
Sample 79, took 5652 cycles
Sample 80, took 5701 cycles
Sample 81, took 5607 cycles
Sample 82, took 6130 cycles
Sample 83, took 6695 cycles
Sample 84, took 5521 cycles
Sample 85, took 5069 cycles
Sample 86, took 10171 cycles
Sample 87, took 5691 cycles
Sample 88, took 5181 cycles
Sample 89, took 5597 cycles
Sample 90, took 5465 cycles
Sample 91, took 5243 cycles
Sample 92, took 4985 cycles
Sample 93, took 6124 cycles
Sample 94, took 6635 cycles
Sample 95, took 5920 cycles
Sample 96, took 5251 cycles
Sample 97, took 36233 cycles
Sample 98, took 16651 cycles
Sample 99, took 6288 cycles
Sample 100, took 5158 cycles
Sample 101, took 5584 cycles
Sample 102, took 6246 cycles
Sample 103, took 5652 cycles
Sample 104, took 5136 cycles
Sample 105, took 4844 cycles
Sample 106, took 5000 cycles
Sample 107, took 5412 cycles
Sample 108, took 13108 cycles
Sample 109, took 9066 cycles
Sample 110, took 5186 cycles
Sample 111, took 4777 cycles
Sample 112, took 6107 cycles
Sample 113, took 6001 cycles
Sample 114, took 5015 cycles
Sample 115, took 5345 cycles
Sample 116, took 5739 cycles
Sample 117, took 6335 cycles
Sample 118, took 5188 cycles
Sample 119, took 5474 cycles
Sample 120, took 5305 cycles
Sample 121, took 4817 cycles
Sample 122, took 4840 cycles
Sample 123, took 9574 cycles
Sample 124, took 5275 cycles
Sample 125, took 4863 cycles
Sample 126, took 5382 cycles
Sample 127, took 5404 cycles
Sample 128, took 5198 cycles
Sample 129, took 4749 cycles
Sample 130, took 7689 cycles
Sample 131, took 12739 cycles
Sample 132, took 6156 cycles
Sample 133, took 5095 cycles
Sample 134, took 4886 cycles
Sample 135, took 4840 cycles
Sample 136, took 5466 cycles
Sample 137, took 5322 cycles
Sample 138, took 5934 cycles
Sample 139, took 6551 cycles
Sample 140, took 6660 cycles
Sample 141, took 5881 cycles
Sample 142, took 9130 cycles
Sample 143, took 9028 cycles
Sample 144, took 9016 cycles
Sample 145, took 9028 cycles
Sample 146, took 9323 cycles
Sample 147, took 8881 cycles
Sample 148, took 9967 cycles
Sample 149, took 15938 cycles
Sample 150, took 9122 cycles
Sample 151, took 67215 cycles
Sample 152, took 18239 cycles
Sample 153, took 10941 cycles
Sample 154, took 6128 cycles
Sample 155, took 5129 cycles
Sample 156, took 4872 cycles
Sample 157, took 5686 cycles
Sample 158, took 5128 cycles
Sample 159, took 4849 cycles
Sample 160, took 5757 cycles
Sample 161, took 6598 cycles
Sample 162, took 5464 cycles
Sample 163, took 5188 cycles
Sample 164, took 4983 cycles
Sample 165, took 5515 cycles
Sample 166, took 5229 cycles
Sample 167, took 5124 cycles
Sample 168, took 5678 cycles
Sample 169, took 7472 cycles
Sample 170, took 6355 cycles
Sample 171, took 7966 cycles
Sample 172, took 6281 cycles
Sample 173, took 22337 cycles
Sample 174, took 10393 cycles
Sample 175, took 5862 cycles
Sample 176, took 5130 cycles
Sample 177, took 5069 cycles
Sample 178, took 6589 cycles
Sample 179, took 10638 cycles
Sample 180, took 8034 cycles
Sample 181, took 6147 cycles
Sample 182, took 5066 cycles
Sample 183, took 4953 cycles
Sample 184, took 7796 cycles
Sample 185, took 5872 cycles
Sample 186, took 5232 cycles
Sample 187, took 4942 cycles
Sample 188, took 4918 cycles
Sample 189, took 5541 cycles
Sample 190, took 5390 cycles
Sample 191, took 6198 cycles
Sample 192, took 6432 cycles
Sample 193, took 5833 cycles
Sample 194, took 8068 cycles
Sample 195, took 10842 cycles
Sample 196, took 7228 cycles
Sample 197, took 6534 cycles
Sample 198, took 8731 cycles
Sample 199, took 13593 cycles
Sample 200, took 7845 cycles
Sample 201, took 5220 cycles
Sample 202, took 4882 cycles
Sample 203, took 5120 cycles
Sample 204, took 5504 cycles
Sample 205, took 5339 cycles
Sample 206, took 5277 cycles
Sample 207, took 5889 cycles
Sample 208, took 17314 cycles
Sample 209, took 5795 cycles
Sample 210, took 5178 cycles
Sample 211, took 5049 cycles
Sample 212, took 5581 cycles
Sample 213, took 5430 cycles
Sample 214, took 6980 cycles
Sample 215, took 5795 cycles
Sample 216, took 5644 cycles
Sample 217, took 7425 cycles
Sample 218, took 8863 cycles
Sample 219, took 6478 cycles
Sample 220, took 5023 cycles
Sample 221, took 4912 cycles
Sample 222, took 5299 cycles
Sample 223, took 5194 cycles
Sample 224, took 8734 cycles
Sample 225, took 6867 cycles
Sample 226, took 6334 cycles
Sample 227, took 5833 cycles
Sample 228, took 9048 cycles
Sample 229, took 9002 cycles
Sample 230, took 8984 cycles
Sample 231, took 9000 cycles
Sample 232, took 9388 cycles
Sample 233, took 8885 cycles
Sample 234, took 9024 cycles
Sample 235, took 9046 cycles
Sample 236, took 9006 cycles
Sample 237, took 8994 cycles
Sample 238, took 9028 cycles
Sample 239, took 10603 cycles
Sample 240, took 9201 cycles
Sample 241, took 9281 cycles
Sample 242, took 11375 cycles
Sample 243, took 10148 cycles
Sample 244, took 9038 cycles
Sample 245, took 9020 cycles
Sample 246, took 8936 cycles
Sample 247, took 57556 cycles
Sample 248, took 9047 cycles
Sample 249, took 9002 cycles
Sample 250, took 9011 cycles
Sample 251, took 8935 cycles
Sample 252, took 9000 cycles
Sample 253, took 9057 cycles
Sample 254, took 9062 cycles
Sample 255, took 9381 cycles
Sample 256, took 9026 cycles
Sample 257, took 9003 cycles
Sample 258, took 8920 cycles
Sample 259, took 9073 cycles
Sample 260, took 8945 cycles
Sample 261, took 9024 cycles
Sample 262, took 11414 cycles
Sample 263, took 9258 cycles
Sample 264, took 9228 cycles
Sample 265, took 57485 cycles
Sample 266, took 9052 cycles
Sample 267, took 9051 cycles
Sample 268, took 14332 cycles
Sample 269, took 20679 cycles
Sample 270, took 51848 cycles
Sample 271, took 9232 cycles
Sample 272, took 9090 cycles
Sample 273, took 9034 cycles
Sample 274, took 8989 cycles
Sample 275, took 10883 cycles
Sample 276, took 9796 cycles
Sample 277, took 9178 cycles
Sample 278, took 5922 cycles
Sample 279, took 5106 cycles
Sample 280, took 5480 cycles
Sample 281, took 5176 cycles
Sample 282, took 5107 cycles
Sample 283, took 4754 cycles
Sample 284, took 6005 cycles
Sample 285, took 59247 cycles
Sample 286, took 8328 cycles
Sample 287, took 5590 cycles
Sample 288, took 7446 cycles
Sample 289, took 5612 cycles
Sample 290, took 6137 cycles
Sample 291, took 5353 cycles
Sample 292, took 5410 cycles
Sample 293, took 9044 cycles
Sample 294, took 8371 cycles
Sample 295, took 5210 cycles
Sample 296, took 5761 cycles
Sample 297, took 5306 cycles
Sample 298, took 5124 cycles
Sample 299, took 5536 cycles
Sample 300, took 7664 cycles
Sample 301, took 5392 cycles
Sample 302, took 5596 cycles
Sample 303, took 5528 cycles
Sample 304, took 4833 cycles
Sample 305, took 4807 cycles
Sample 306, took 5484 cycles
Sample 307, took 7637 cycles
Sample 308, took 5295 cycles
Sample 309, took 5547 cycles
Sample 310, took 5172 cycles
Sample 311, took 4868 cycles
Sample 312, took 4781 cycles
Sample 313, took 5315 cycles
Sample 314, took 5956 cycles
Sample 315, took 6513 cycles
Sample 316, took 5231 cycles
Sample 317, took 14698 cycles
Sample 318, took 11291 cycles
Sample 319, took 5737 cycles
Sample 320, took 5384 cycles
Sample 321, took 5031 cycles
Sample 322, took 5739 cycles
Sample 323, took 6662 cycles
Sample 324, took 7244 cycles
Sample 325, took 5602 cycles
Sample 326, took 9409 cycles
Sample 327, took 9174 cycles
Sample 328, took 13140 cycles
Sample 329, took 15137 cycles
Sample 330, took 14198 cycles
Sample 331, took 9643 cycles
Sample 332, took 7988 cycles
Sample 333, took 7909 cycles
Sample 334, took 8093 cycles
Sample 335, took 8056 cycles
Sample 336, took 7502 cycles
Sample 337, took 19898 cycles
Sample 338, took 8935 cycles
Sample 339, took 8874 cycles
Sample 340, took 24300 cycles
Sample 341, took 9286 cycles
Sample 342, took 9248 cycles
Sample 343, took 9205 cycles
Sample 344, took 9201 cycles
Sample 345, took 9228 cycles
Sample 346, took 9237 cycles
Sample 347, took 9574 cycles
Sample 348, took 9491 cycles
Sample 349, took 10425 cycles
Sample 350, took 9254 cycles
Sample 351, took 9268 cycles
Sample 352, took 9288 cycles
Sample 353, took 9171 cycles
Sample 354, took 9256 cycles
Sample 355, took 9609 cycles
Sample 356, took 9245 cycles
Sample 357, took 9350 cycles
Sample 358, took 9195 cycles
Sample 359, took 9300 cycles
Sample 360, took 9116 cycles
Sample 361, took 9183 cycles
Sample 362, took 9223 cycles
Sample 363, took 9336 cycles
Sample 364, took 9390 cycles
Sample 365, took 14035 cycles
Sample 366, took 9389 cycles
Sample 367, took 9346 cycles
Sample 368, took 8996 cycles
Sample 369, took 8952 cycles
Sample 370, took 10012 cycles
Sample 371, took 9302 cycles
Sample 372, took 9308 cycles
Sample 373, took 9512 cycles
Sample 374, took 9141 cycles
Sample 375, took 9224 cycles
