Microsoft Windows [Version 10.0.19045.4412]
(c) Microsoft Corporation. All rights reserved.

C:\Users\Saeid\Downloads\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 0, took 28 cycles
Sample 1, took 28 cycles
Sample 2, took 26 cycles
Sample 3, took 24 cycles
Sample 4, took 26 cycles
Sample 5, took 18 cycles
Sample 6, took 18 cycles
Sample 7, took 18 cycles
Sample 8, took 18 cycles
Sample 9, took 17 cycles
Sample 10, took 18 cycles
Sample 11, took 18 cycles
Sample 12, took 20 cycles
Sample 13, took 18 cycles
Sample 14, took 18 cycles
Sample 15, took 18 cycles
Sample 16, took 19 cycles
Sample 17, took 18 cycles
Sample 18, took 19 cycles
Sample 19, took 20 cycles
Sample 20, took 18 cycles
Sample 21, took 18 cycles
Sample 22, took 18 cycles
Sample 23, took 15 cycles
Sample 24, took 18 cycles
Sample 25, took 19 cycles
Sample 26, took 38 cycles
Sample 27, took 18 cycles
Sample 28, took 16 cycles
Sample 29, took 18 cycles
Sample 30, took 16 cycles
Sample 31, took 18 cycles
Sample 32, took 20 cycles
Sample 33, took 18 cycles
Sample 34, took 18 cycles
Sample 35, took 18 cycles
Sample 36, took 18 cycles
Sample 37, took 18 cycles
Sample 38, took 18 cycles
Sample 39, took 20 cycles
Sample 40, took 18 cycles
Sample 41, took 16 cycles
Sample 42, took 18 cycles
Sample 43, took 20 cycles
Sample 44, took 18 cycles
Sample 45, took 18 cycles
Sample 46, took 18 cycles
Sample 47, took 18 cycles
Sample 48, took 18 cycles
Sample 49, took 15 cycles
Sample 50, took 18 cycles
Sample 51, took 18 cycles
Sample 52, took 19 cycles
Sample 53, took 19 cycles
Sample 54, took 16 cycles
Sample 55, took 18 cycles
Sample 56, took 18 cycles
Sample 57, took 18 cycles
Sample 58, took 18 cycles
Sample 59, took 20 cycles
Sample 60, took 18 cycles
Sample 61, took 18 cycles
Sample 62, took 18 cycles
Sample 63, took 20 cycles
Sample 64, took 18 cycles
Sample 65, took 18 cycles
Sample 66, took 15 cycles
Sample 67, took 16 cycles
Sample 68, took 20 cycles
Sample 69, took 18 cycles
Sample 70, took 17 cycles
Sample 71, took 18 cycles
Sample 72, took 20 cycles
Sample 73, took 21 cycles
Sample 74, took 18 cycles
Sample 75, took 18 cycles
Sample 76, took 18 cycles
Sample 77, took 18 cycles
Sample 78, took 18 cycles
Sample 79, took 17 cycles
Sample 80, took 18 cycles
Sample 81, took 18 cycles
Sample 82, took 30 cycles
Sample 83, took 19 cycles
Sample 84, took 18 cycles
Sample 85, took 18 cycles
Sample 86, took 38 cycles
Sample 87, took 19 cycles
Sample 88, took 18 cycles
Sample 89, took 20 cycles
Sample 90, took 20 cycles
Sample 91, took 18 cycles
Sample 92, took 18 cycles
Sample 93, took 18 cycles
Sample 94, took 18 cycles
Sample 95, took 38 cycles
Sample 96, took 15 cycles
Sample 97, took 18 cycles
Sample 98, took 18 cycles
Sample 99, took 18 cycles
Sample 100, took 20 cycles
Sample 101, took 18 cycles
Sample 102, took 18 cycles
Sample 103, took 21 cycles
Sample 104, took 17 cycles
Sample 105, took 16 cycles
Sample 106, took 18 cycles
Sample 107, took 18 cycles
Sample 108, took 20 cycles
Sample 109, took 18 cycles
Sample 110, took 18 cycles
Sample 111, took 18 cycles
Sample 112, took 20 cycles
Sample 113, took 15 cycles
Sample 114, took 17 cycles
Sample 115, took 18 cycles
Sample 116, took 18 cycles
Sample 117, took 15 cycles
Sample 118, took 17 cycles
Sample 119, took 18 cycles
