PS C:\Users\moham\Downloads\AccessMeasurements\AccessMeasurements\x64\Debug> .\AccessMeasurements.exe
Press enter to continue...
Sample 0, took 22515 cycles
Sample 1, took 16880 cycles
Sample 2, took 9086 cycles
Sample 3, took 4562 cycles
Sample 4, took 4733 cycles
Sample 5, took 4446 cycles
Sample 6, took 4571 cycles
Sample 7, took 4342 cycles
Sample 8, took 4347 cycles
Sample 9, took 4357 cycles
Sample 10, took 4324 cycles
Sample 11, took 4477 cycles
Sample 12, took 4337 cycles
Sample 13, took 4300 cycles
Sample 14, took 4660 cycles
Sample 15, took 4306 cycles
Sample 16, took 4336 cycles
Sample 17, took 4432 cycles
Sample 18, took 4572 cycles
Sample 19, took 4844 cycles
Sample 20, took 4406 cycles
Sample 21, took 4312 cycles
Sample 22, took 4311 cycles
Sample 23, took 10234 cycles
Sample 24, took 4408 cycles
Sample 25, took 4074 cycles
Sample 26, took 4123 cycles
Sample 27, took 4091 cycles
Sample 28, took 5117 cycles
Sample 29, took 4950 cycles
Sample 30, took 7466 cycles
Sample 31, took 4674 cycles
Sample 32, took 4777 cycles
Sample 33, took 4945 cycles
Sample 34, took 5027 cycles
Sample 35, took 5403 cycles
Sample 36, took 5764 cycles
Sample 37, took 4736 cycles
Sample 38, took 5011 cycles
Sample 39, took 5009 cycles
Sample 40, took 5094 cycles
Sample 41, took 5045 cycles
Sample 42, took 4974 cycles
Sample 43, took 4741 cycles
Sample 44, took 4707 cycles
Sample 45, took 4926 cycles
Sample 46, took 4918 cycles
Sample 47, took 5027 cycles
Sample 48, took 4821 cycles
Sample 49, took 5383 cycles
Sample 50, took 5517 cycles
Sample 51, took 6933 cycles
Sample 52, took 6193 cycles
Sample 53, took 4790 cycles
Sample 54, took 6358 cycles
Sample 55, took 5839 cycles
Sample 56, took 5637 cycles
Sample 57, took 5454 cycles
Sample 58, took 4940 cycles
Sample 59, took 4950 cycles
Sample 60, took 5525 cycles
Sample 61, took 5225 cycles
Sample 62, took 5280 cycles
Sample 63, took 5343 cycles
Sample 64, took 5470 cycles
Sample 65, took 5348 cycles
Sample 66, took 5510 cycles
Sample 67, took 5269 cycles
Sample 68, took 8292 cycles
Sample 69, took 6756 cycles
Sample 70, took 5190 cycles
Sample 71, took 5219 cycles
Sample 72, took 5127 cycles
Sample 73, took 5235 cycles
Sample 74, took 6910 cycles
Sample 75, took 5616 cycles
Sample 76, took 9732 cycles
Sample 77, took 5133 cycles
Sample 78, took 4473 cycles
Sample 79, took 4609 cycles
Sample 80, took 4812 cycles
Sample 81, took 4609 cycles
Sample 82, took 4410 cycles
Sample 83, took 4552 cycles
Sample 84, took 4494 cycles
Sample 85, took 4537 cycles
Sample 86, took 4412 cycles
Sample 87, took 4611 cycles
Sample 88, took 4294 cycles
Sample 89, took 4591 cycles
Sample 90, took 4387 cycles
Sample 91, took 4571 cycles
Sample 92, took 4424 cycles
Sample 93, took 4665 cycles
Sample 94, took 4507 cycles
Sample 95, took 4591 cycles
Sample 96, took 4465 cycles
Sample 97, took 4538 cycles
Sample 98, took 4518 cycles
Sample 99, took 4601 cycles
Sample 100, took 4473 cycles
Sample 101, took 4559 cycles
Sample 102, took 4513 cycles
Sample 103, took 4483 cycles
Sample 104, took 4347 cycles
Sample 105, took 4607 cycles
Sample 106, took 4359 cycles
Sample 107, took 4570 cycles
Sample 108, took 4426 cycles
Sample 109, took 4652 cycles
Sample 110, took 4613 cycles
Sample 111, took 5565 cycles
Sample 112, took 4319 cycles
Sample 113, took 4637 cycles
Sample 114, took 4295 cycles
Sample 115, took 4528 cycles
Sample 116, took 4698 cycles
Sample 117, took 4542 cycles
Sample 118, took 4381 cycles
Sample 119, took 4564 cycles
Sample 120, took 4487 cycles
Sample 121, took 4591 cycles
Sample 122, took 4650 cycles
Sample 123, took 4581 cycles
Sample 124, took 4451 cycles
Sample 125, took 4541 cycles
Sample 126, took 4503 cycles
Sample 127, took 5964 cycles
Sample 128, took 4385 cycles
Sample 129, took 4335 cycles
Sample 130, took 4489 cycles
Sample 131, took 4560 cycles
Sample 132, took 4505 cycles
Sample 133, took 4556 cycles
Sample 134, took 4459 cycles
Sample 135, took 4526 cycles
Sample 136, took 4422 cycles
Sample 137, took 4566 cycles
Sample 138, took 4667 cycles
Sample 139, took 4603 cycles
Sample 140, took 4422 cycles
Sample 141, took 4570 cycles
Sample 142, took 4629 cycles
Sample 143, took 4569 cycles
Sample 144, took 4432 cycles
Sample 145, took 4692 cycles
Sample 146, took 4465 cycles
Sample 147, took 4581 cycles
Sample 148, took 4365 cycles
Sample 149, took 4570 cycles
Sample 150, took 4613 cycles
Sample 151, took 4570 cycles
Sample 152, took 4361 cycles
Sample 153, took 4550 cycles
Sample 154, took 4388 cycles
Sample 155, took 4597 cycles
Sample 156, took 4493 cycles
Sample 157, took 4589 cycles
Sample 158, took 4481 cycles
Sample 159, took 4609 cycles
Sample 160, took 4481 cycles
Sample 161, took 4684 cycles
Sample 162, took 4400 cycles
Sample 163, took 4574 cycles
Sample 164, took 10473 cycles
Sample 165, took 5166 cycles
Sample 166, took 4921 cycles
Sample 167, took 4753 cycles
Sample 168, took 4623 cycles
Sample 169, took 4447 cycles
Sample 170, took 4556 cycles
Sample 171, took 4450 cycles
Sample 172, took 4609 cycles
Sample 173, took 4221 cycles
Sample 174, took 4558 cycles
Sample 175, took 4399 cycles
Sample 176, took 4477 cycles
Sample 177, took 4731 cycles
Sample 178, took 4479 cycles
Sample 179, took 4363 cycles
Sample 180, took 4793 cycles
Sample 181, took 4407 cycles
Sample 182, took 4432 cycles
Sample 183, took 4367 cycles
Sample 184, took 4546 cycles
Sample 185, took 4366 cycles
Sample 186, took 4574 cycles
Sample 187, took 4473 cycles
Sample 188, took 4558 cycles
Sample 189, took 4473 cycles
Sample 190, took 4568 cycles
Sample 191, took 4361 cycles
Sample 192, took 4538 cycles
Sample 193, took 4463 cycles
Sample 194, took 4577 cycles
Sample 195, took 4262 cycles
Sample 196, took 4516 cycles
Sample 197, took 4446 cycles
Sample 198, took 4739 cycles
Sample 199, took 4696 cycles
Sample 200, took 4537 cycles
Sample 201, took 4358 cycles
Sample 202, took 4544 cycles
Sample 203, took 4406 cycles
Sample 204, took 4414 cycles
Sample 205, took 4514 cycles
Sample 206, took 4793 cycles
Sample 207, took 4759 cycles
Sample 208, took 4357 cycles
Sample 209, took 4430 cycles
Sample 210, took 4462 cycles
Sample 211, took 4425 cycles
Sample 212, took 4474 cycles
Sample 213, took 4479 cycles
Sample 214, took 4507 cycles
Sample 215, took 4367 cycles
Sample 216, took 4822 cycles
Sample 217, took 4424 cycles
Sample 218, took 4572 cycles
Sample 219, took 4410 cycles
Sample 220, took 4447 cycles
Sample 221, took 4684 cycles
Sample 222, took 4520 cycles
Sample 223, took 4491 cycles
Sample 224, took 4588 cycles
Sample 225, took 4487 cycles
Sample 226, took 4702 cycles
Sample 227, took 4410 cycles
Sample 228, took 4592 cycles
Sample 229, took 4436 cycles
Sample 230, took 4499 cycles
Sample 231, took 4432 cycles
Sample 232, took 4556 cycles
Sample 233, took 4453 cycles
Sample 234, took 4252 cycles
Sample 235, took 4442 cycles
Sample 236, took 8952 cycles
Sample 237, took 4364 cycles
Sample 238, took 4900 cycles
Sample 239, took 4521 cycles
Sample 240, took 4648 cycles
Sample 241, took 4413 cycles
Sample 242, took 4570 cycles
Sample 243, took 4761 cycles
Sample 244, took 4478 cycles
Sample 245, took 4495 cycles
Sample 246, took 4611 cycles
Sample 247, took 4499 cycles
Sample 248, took 4590 cycles
Sample 249, took 4498 cycles
Sample 250, took 4586 cycles
Sample 251, took 4450 cycles
Sample 252, took 4548 cycles
Sample 253, took 4824 cycles
Sample 254, took 4592 cycles
Sample 255, took 4402 cycles
Sample 256, took 4532 cycles
Sample 257, took 4493 cycles
Sample 258, took 4385 cycles
Sample 259, took 4452 cycles
Sample 260, took 4574 cycles
Sample 261, took 4317 cycles
Sample 262, took 4543 cycles
Sample 263, took 4675 cycles
Sample 264, took 4589 cycles
Sample 265, took 4459 cycles
Sample 266, took 4601 cycles
Sample 267, took 4396 cycles
Sample 268, took 4570 cycles
Sample 269, took 5832 cycles
Sample 270, took 5290 cycles
Sample 271, took 4459 cycles
Sample 272, took 8493 cycles
Sample 273, took 4442 cycles
Sample 274, took 5081 cycles
Sample 275, took 4426 cycles
Sample 276, took 4592 cycles
Sample 277, took 4451 cycles
Sample 278, took 4794 cycles
Sample 279, took 4478 cycles
Sample 280, took 4950 cycles
Sample 281, took 4459 cycles
Sample 282, took 4532 cycles
Sample 283, took 4467 cycles
Sample 284, took 6194 cycles
Sample 285, took 4597 cycles
Sample 286, took 5216 cycles
Sample 287, took 4534 cycles
Sample 288, took 4644 cycles
Sample 289, took 4621 cycles
Sample 290, took 4564 cycles
Sample 291, took 4638 cycles
Sample 292, took 4578 cycles
Sample 293, took 4578 cycles
Sample 294, took 4643 cycles
Sample 295, took 4619 cycles
Sample 296, took 4626 cycles
Sample 297, took 5582 cycles
Sample 298, took 5305 cycles
Sample 299, took 11917 cycles
Sample 300, took 6514 cycles
Sample 301, took 5342 cycles
Sample 302, took 5127 cycles
Sample 303, took 10837 cycles
Sample 304, took 5025 cycles
Sample 305, took 5039 cycles
Sample 306, took 8316 cycles
Sample 307, took 5042 cycles
Sample 308, took 5052 cycles
Sample 309, took 4690 cycles
Sample 310, took 4497 cycles
Sample 311, took 4580 cycles
Sample 312, took 4753 cycles
Sample 313, took 4749 cycles
Sample 314, took 4588 cycles
Sample 315, took 4515 cycles
Sample 316, took 4501 cycles
Sample 317, took 4517 cycles
Sample 318, took 4581 cycles
Sample 319, took 4561 cycles
Sample 320, took 4521 cycles
Sample 321, took 4625 cycles
Sample 322, took 4591 cycles
Sample 323, took 4588 cycles
Sample 324, took 4542 cycles
Sample 325, took 4566 cycles
Sample 326, took 6108 cycles
Sample 327, took 4750 cycles
Sample 328, took 4462 cycles
Sample 329, took 4438 cycles
Sample 330, took 10138 cycles
Sample 331, took 5713 cycles
Sample 332, took 4717 cycles
Sample 333, took 6398 cycles
Sample 334, took 4607 cycles
Sample 335, took 4887 cycles
Sample 336, took 4559 cycles
Sample 337, took 4444 cycles
Sample 338, took 4599 cycles
Sample 339, took 4320 cycles
Sample 340, took 4572 cycles
Sample 341, took 4310 cycles
Sample 342, took 4553 cycles
Sample 343, took 4639 cycles
Sample 344, took 4597 cycles
Sample 345, took 4629 cycles
Sample 346, took 4638 cycles
Sample 347, took 4462 cycles
Sample 348, took 4591 cycles
Sample 349, took 4408 cycles
Sample 350, took 4621 cycles
Sample 351, took 4314 cycles
Sample 352, took 4588 cycles
Sample 353, took 4411 cycles
Sample 354, took 4577 cycles
Sample 355, took 4463 cycles
Sample 356, took 4550 cycles
Sample 357, took 4448 cycles
Sample 358, took 4617 cycles
Sample 359, took 4643 cycles
Sample 360, took 4528 cycles
Sample 361, took 6265 cycles
Sample 362, took 4694 cycles
Sample 363, took 4467 cycles
Sample 364, took 4540 cycles
Sample 365, took 4363 cycles
Sample 366, took 4570 cycles
Sample 367, took 4528 cycles
Sample 368, took 4587 cycles
Sample 369, took 4473 cycles
Sample 370, took 4865 cycles
Sample 371, took 4432 cycles
Sample 372, took 4567 cycles
Sample 373, took 4497 cycles
Sample 374, took 4615 cycles
Sample 375, took 4329 cycles
Sample 376, took 4592 cycles
Sample 377, took 4458 cycles
Sample 378, took 4617 cycles
Sample 379, took 4414 cycles
Sample 380, took 4522 cycles
Sample 381, took 4505 cycles
Sample 382, took 4605 cycles
Sample 383, took 4477 cycles
Sample 384, took 4550 cycles
Sample 385, took 4720 cycles
Sample 386, took 4567 cycles
Sample 387, took 4384 cycles
Sample 388, took 4534 cycles
Sample 389, took 4550 cycles
Sample 390, took 4581 cycles
Sample 391, took 4550 cycles
Sample 392, took 4586 cycles
Sample 393, took 4495 cycles
Sample 394, took 4545 cycles
Sample 395, took 4545 cycles
Sample 396, took 4621 cycles
Sample 397, took 4459 cycles
Sample 398, took 4575 cycles
Sample 399, took 4455 cycles
Sample 400, took 4633 cycles
Sample 401, took 4518 cycles
Sample 402, took 9240 cycles
Sample 403, took 4446 cycles
Sample 404, took 4816 cycles
Sample 405, took 4544 cycles
Sample 406, took 4812 cycles
Sample 407, took 4538 cycles
Sample 408, took 4579 cycles
Sample 409, took 4584 cycles
Sample 410, took 4631 cycles
Sample 411, took 4528 cycles
Sample 412, took 4596 cycles
Sample 413, took 4583 cycles
Sample 414, took 4629 cycles
Sample 415, took 4524 cycles
Sample 416, took 4597 cycles
Sample 417, took 4501 cycles
Sample 418, took 4588 cycles
Sample 419, took 4568 cycles
Sample 420, took 4578 cycles
Sample 421, took 4515 cycles
Sample 422, took 4524 cycles
Sample 423, took 4534 cycles
Sample 424, took 4643 cycles
Sample 425, took 4593 cycles
Sample 426, took 4916 cycles
Sample 427, took 4546 cycles
Sample 428, took 4507 cycles
Sample 429, took 4556 cycles
Sample 430, took 4986 cycles
Sample 431, took 4582 cycles
Sample 432, took 4597 cycles
Sample 433, took 4566 cycles
Sample 434, took 4444 cycles
Sample 435, took 8194 cycles
Sample 436, took 5251 cycles
Sample 437, took 4712 cycles
Sample 438, took 4523 cycles
Sample 439, took 4608 cycles
Sample 440, took 4529 cycles
Sample 441, took 4568 cycles
Sample 442, took 5273 cycles
Sample 443, took 4526 cycles
Sample 444, took 4516 cycles
Sample 445, took 4601 cycles
Sample 446, took 4473 cycles
