C:\Users\sina\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 0, took 26069 cycles
Sample 1, took 24779 cycles
Sample 2, took 9803 cycles
Sample 3, took 8899 cycles
Sample 4, took 7838 cycles
Sample 5, took 8018 cycles
Sample 6, took 7891 cycles
Sample 7, took 10189 cycles
Sample 8, took 7572 cycles
Sample 9, took 7404 cycles
Sample 10, took 8216 cycles
Sample 11, took 7946 cycles
Sample 12, took 8097 cycles
Sample 13, took 16597 cycles
Sample 14, took 12067 cycles
Sample 15, took 13042 cycles
Sample 16, took 8542 cycles
Sample 17, took 7398 cycles
Sample 18, took 8178 cycles
Sample 19, took 8107 cycles
Sample 20, took 7445 cycles
Sample 21, took 8058 cycles
Sample 22, took 8263 cycles
Sample 23, took 7924 cycles
Sample 24, took 7957 cycles
Sample 25, took 7964 cycles
Sample 26, took 8471 cycles
Sample 27, took 7773 cycles
Sample 28, took 8405 cycles
Sample 29, took 8846 cycles
Sample 30, took 8444 cycles
Sample 31, took 8164 cycles
Sample 32, took 14966 cycles
Sample 33, took 8210 cycles
Sample 34, took 7509 cycles
Sample 35, took 7408 cycles
Sample 36, took 7228 cycles
Sample 37, took 7300 cycles
Sample 38, took 7249 cycles
Sample 39, took 7380 cycles
Sample 40, took 7394 cycles
Sample 41, took 7270 cycles
Sample 42, took 7288 cycles
Sample 43, took 7274 cycles
Sample 44, took 7365 cycles
Sample 45, took 7297 cycles
Sample 46, took 7228 cycles
Sample 47, took 7305 cycles
Sample 48, took 7254 cycles
Sample 49, took 7238 cycles
Sample 50, took 7258 cycles
Sample 51, took 7291 cycles
Sample 52, took 7262 cycles
Sample 53, took 7262 cycles
Sample 54, took 7451 cycles
Sample 55, took 7256 cycles
Sample 56, took 7270 cycles
Sample 57, took 7290 cycles
Sample 58, took 7222 cycles
Sample 59, took 7367 cycles
Sample 60, took 7286 cycles
Sample 61, took 7302 cycles
Sample 62, took 7347 cycles
Sample 63, took 7337 cycles
Sample 64, took 7238 cycles
Sample 65, took 7372 cycles
Sample 66, took 7292 cycles
Sample 67, took 7351 cycles
Sample 68, took 7246 cycles
Sample 69, took 7256 cycles
Sample 70, took 7278 cycles
Sample 71, took 7248 cycles
Sample 72, took 7351 cycles
Sample 73, took 7288 cycles
Sample 74, took 7331 cycles
Sample 75, took 7229 cycles
Sample 76, took 7341 cycles
Sample 77, took 7303 cycles
Sample 78, took 7257 cycles
Sample 79, took 7268 cycles
Sample 80, took 7246 cycles
Sample 81, took 7317 cycles
Sample 82, took 7391 cycles
Sample 83, took 7371 cycles
Sample 84, took 6967 cycles
Sample 85, took 7006 cycles
Sample 86, took 6977 cycles
Sample 87, took 6981 cycles
Sample 88, took 6972 cycles
Sample 89, took 6995 cycles
Sample 90, took 6955 cycles
Sample 91, took 6977 cycles
Sample 92, took 7065 cycles
Sample 93, took 7026 cycles
Sample 94, took 7018 cycles
Sample 95, took 6981 cycles
Sample 96, took 7007 cycles
Sample 97, took 7004 cycles
Sample 98, took 7022 cycles
Sample 99, took 6972 cycles
Sample 100, took 7089 cycles
Sample 101, took 7026 cycles
Sample 102, took 7052 cycles
Sample 103, took 6955 cycles
Sample 104, took 6939 cycles
Sample 105, took 6995 cycles
Sample 106, took 7040 cycles
Sample 107, took 7000 cycles
Sample 108, took 6949 cycles
Sample 109, took 6953 cycles
Sample 110, took 6973 cycles
Sample 111, took 7130 cycles
Sample 112, took 7024 cycles
Sample 113, took 6990 cycles
Sample 114, took 6973 cycles
Sample 115, took 6959 cycles
Sample 116, took 7097 cycles
Sample 117, took 7123 cycles
Sample 118, took 7002 cycles
Sample 119, took 6957 cycles
Sample 120, took 6962 cycles
Sample 121, took 6999 cycles
Sample 122, took 6957 cycles
Sample 123, took 6919 cycles
Sample 124, took 6951 cycles
Sample 125, took 7069 cycles
Sample 126, took 7005 cycles
Sample 127, took 6981 cycles
Sample 128, took 6951 cycles
Sample 129, took 6955 cycles
Sample 130, took 7075 cycles
Sample 131, took 6957 cycles
Sample 132, took 6930 cycles
Sample 133, took 6951 cycles
Sample 134, took 7144 cycles
Sample 135, took 7041 cycles
Sample 136, took 6970 cycles
Sample 137, took 6945 cycles
Sample 138, took 7150 cycles
Sample 139, took 6937 cycles
Sample 140, took 6996 cycles
Sample 141, took 6939 cycles
Sample 142, took 6990 cycles
Sample 143, took 7146 cycles
Sample 144, took 7044 cycles
Sample 145, took 6989 cycles
Sample 146, took 6967 cycles
Sample 147, took 6923 cycles
Sample 148, took 6953 cycles
Sample 149, took 6936 cycles
Sample 150, took 6967 cycles
Sample 151, took 7008 cycles
Sample 152, took 6933 cycles
Sample 153, took 6947 cycles
Sample 154, took 6967 cycles
Sample 155, took 6967 cycles
Sample 156, took 6945 cycles
Sample 157, took 6932 cycles
Sample 158, took 6941 cycles
Sample 159, took 6949 cycles
Sample 160, took 7010 cycles
Sample 161, took 6949 cycles
Sample 162, took 6973 cycles
Sample 163, took 6963 cycles
Sample 164, took 7065 cycles
Sample 165, took 7117 cycles
Sample 166, took 7004 cycles
Sample 167, took 6951 cycles
Sample 168, took 7075 cycles
Sample 169, took 5671 cycles
Sample 170, took 5673 cycles
Sample 171, took 5616 cycles
Sample 172, took 5607 cycles
Sample 173, took 5712 cycles
Sample 174, took 5614 cycles
Sample 175, took 5686 cycles
Sample 176, took 5667 cycles
Sample 177, took 5659 cycles
Sample 178, took 5641 cycles
Sample 179, took 5608 cycles
