C:\Users\sina\Desktop>AccessMeasurements.exe
Press enter to continue...
Sample 0, took 23294 cycles
Sample 1, took 13466 cycles
Sample 2, took 13083 cycles
Sample 3, took 12863 cycles
Sample 4, took 12502 cycles
Sample 5, took 12558 cycles
Sample 6, took 12524 cycles
Sample 7, took 12630 cycles
Sample 8, took 12533 cycles
Sample 9, took 10829 cycles
Sample 10, took 10865 cycles
Sample 11, took 10889 cycles
Sample 12, took 9818 cycles
Sample 13, took 9752 cycles
Sample 14, took 9758 cycles
Sample 15, took 9687 cycles
Sample 16, took 9742 cycles
Sample 17, took 9756 cycles
Sample 18, took 6746 cycles
Sample 19, took 6655 cycles
Sample 20, took 6742 cycles
Sample 21, took 6704 cycles
Sample 22, took 6774 cycles
Sample 23, took 6784 cycles
Sample 24, took 6702 cycles
Sample 25, took 6856 cycles
Sample 26, took 6786 cycles
Sample 27, took 6845 cycles
Sample 28, took 7073 cycles
Sample 29, took 6875 cycles
Sample 30, took 7074 cycles
Sample 31, took 6847 cycles
Sample 32, took 7061 cycles
Sample 33, took 6923 cycles
Sample 34, took 7044 cycles
Sample 35, took 6877 cycles
Sample 36, took 7044 cycles
Sample 37, took 6843 cycles
Sample 38, took 7002 cycles
Sample 39, took 6971 cycles
Sample 40, took 6980 cycles
Sample 41, took 6871 cycles
Sample 42, took 7018 cycles
Sample 43, took 6871 cycles
Sample 44, took 7038 cycles
Sample 45, took 6916 cycles
Sample 46, took 6849 cycles
Sample 47, took 6875 cycles
Sample 48, took 6903 cycles
Sample 49, took 6925 cycles
Sample 50, took 6873 cycles
Sample 51, took 6865 cycles
Sample 52, took 6885 cycles
Sample 53, took 6851 cycles
Sample 54, took 6841 cycles
Sample 55, took 6881 cycles
Sample 56, took 6913 cycles
Sample 57, took 55297 cycles
Sample 58, took 12782 cycles
Sample 59, took 52970 cycles
Sample 60, took 6665 cycles
Sample 61, took 6657 cycles
Sample 62, took 6647 cycles
Sample 63, took 6634 cycles
Sample 64, took 6665 cycles
Sample 65, took 6809 cycles
Sample 66, took 6665 cycles
Sample 67, took 6687 cycles
Sample 68, took 6627 cycles
Sample 69, took 6597 cycles
Sample 70, took 6607 cycles
Sample 71, took 6649 cycles
Sample 72, took 6621 cycles
Sample 73, took 6643 cycles
Sample 74, took 6603 cycles
Sample 75, took 6651 cycles
Sample 76, took 10892 cycles
Sample 77, took 8703 cycles
Sample 78, took 8690 cycles
Sample 79, took 8778 cycles
Sample 80, took 8744 cycles
Sample 81, took 8631 cycles
Sample 82, took 8758 cycles
Sample 83, took 8706 cycles
Sample 84, took 8856 cycles
Sample 85, took 8738 cycles
Sample 86, took 8730 cycles
Sample 87, took 8756 cycles
Sample 88, took 8722 cycles
Sample 89, took 8773 cycles
Sample 90, took 8725 cycles
Sample 91, took 8773 cycles
Sample 92, took 8760 cycles
Sample 93, took 8690 cycles
Sample 94, took 8721 cycles
Sample 95, took 10767 cycles
Sample 96, took 84606 cycles
Sample 97, took 9329 cycles
Sample 98, took 12113 cycles
Sample 99, took 9415 cycles
Sample 100, took 12535 cycles
Sample 101, took 11381 cycles
Sample 102, took 8966 cycles
Sample 103, took 10411 cycles
Sample 104, took 58595 cycles
Sample 105, took 58151 cycles
Sample 106, took 57744 cycles
Sample 107, took 52480 cycles
Sample 108, took 7599 cycles
Sample 109, took 50982 cycles
Sample 110, took 52339 cycles
Sample 111, took 52240 cycles
Sample 112, took 51833 cycles
Sample 113, took 52377 cycles
Sample 114, took 7544 cycles
Sample 115, took 7579 cycles
Sample 116, took 7518 cycles
Sample 117, took 7612 cycles
Sample 118, took 7599 cycles
Sample 119, took 7526 cycles
Sample 120, took 7465 cycles
Sample 121, took 7582 cycles
Sample 122, took 7557 cycles
Sample 123, took 7502 cycles
Sample 124, took 7569 cycles
Sample 125, took 7537 cycles
Sample 126, took 7601 cycles
Sample 127, took 7551 cycles
Sample 128, took 7482 cycles
Sample 129, took 7500 cycles
Sample 130, took 7609 cycles
Sample 131, took 7578 cycles
Sample 132, took 7477 cycles
Sample 133, took 7547 cycles
Sample 134, took 7629 cycles
Sample 135, took 7538 cycles
Sample 136, took 7857 cycles
Sample 137, took 7593 cycles
Sample 138, took 7803 cycles
Sample 139, took 11318 cycles
Sample 140, took 12983 cycles
Sample 141, took 8444 cycles
Sample 142, took 7679 cycles
Sample 143, took 8308 cycles
Sample 144, took 7895 cycles
Sample 145, took 7661 cycles
Sample 146, took 7504 cycles
Sample 147, took 7561 cycles
Sample 148, took 7544 cycles
Sample 149, took 7512 cycles
Sample 150, took 7486 cycles
Sample 151, took 7559 cycles
Sample 152, took 7466 cycles
Sample 153, took 7698 cycles
Sample 154, took 53062 cycles
Sample 155, took 51952 cycles
Sample 156, took 52816 cycles
Sample 157, took 7738 cycles
Sample 158, took 7724 cycles
Sample 159, took 53329 cycles
Sample 160, took 7713 cycles
Sample 161, took 7688 cycles
Sample 162, took 7667 cycles
Sample 163, took 7720 cycles
Sample 164, took 52450 cycles
Sample 165, took 7802 cycles
Sample 166, took 7644 cycles
Sample 167, took 7692 cycles
Sample 168, took 7676 cycles
Sample 169, took 7635 cycles
Sample 170, took 52659 cycles
Sample 171, took 7732 cycles
Sample 172, took 7728 cycles
Sample 173, took 10647 cycles
Sample 174, took 10667 cycles
Sample 175, took 7901 cycles
Sample 176, took 8855 cycles
Sample 177, took 8770 cycles
Sample 178, took 7573 cycles
Sample 179, took 10835 cycles
Sample 180, took 14708 cycles
Sample 181, took 18111 cycles
Sample 182, took 73391 cycles
Sample 183, took 14877 cycles
Sample 184, took 12901 cycles
Sample 185, took 10331 cycles
Sample 186, took 7621 cycles
Sample 187, took 7539 cycles
Sample 188, took 7468 cycles
Sample 189, took 7480 cycles
Sample 190, took 7454 cycles
Sample 191, took 7530 cycles
Sample 192, took 7484 cycles
Sample 193, took 7506 cycles
Sample 194, took 7798 cycles
Sample 195, took 8038 cycles
Sample 196, took 11469 cycles
Sample 197, took 47625 cycles
Sample 198, took 48486 cycles
Sample 199, took 8715 cycles
Sample 200, took 47597 cycles
Sample 201, took 47796 cycles
Sample 202, took 48639 cycles
Sample 203, took 8756 cycles
Sample 204, took 8685 cycles
Sample 205, took 47613 cycles
Sample 206, took 10615 cycles
Sample 207, took 47490 cycles
Sample 208, took 48101 cycles
Sample 209, took 48468 cycles
Sample 210, took 8671 cycles
Sample 211, took 48262 cycles
Sample 212, took 8748 cycles
Sample 213, took 8528 cycles
Sample 214, took 9343 cycles
Sample 215, took 9071 cycles
Sample 216, took 18233 cycles
Sample 217, took 11210 cycles
Sample 218, took 8479 cycles
Sample 219, took 7631 cycles
Sample 220, took 7554 cycles
Sample 221, took 7662 cycles
Sample 222, took 7663 cycles
Sample 223, took 7617 cycles
Sample 224, took 7685 cycles
Sample 225, took 7496 cycles
Sample 226, took 7593 cycles
Sample 227, took 7563 cycles
Sample 228, took 9294 cycles
Sample 229, took 7542 cycles
Sample 230, took 7471 cycles
Sample 231, took 7569 cycles
Sample 232, took 7598 cycles
Sample 233, took 7537 cycles
Sample 234, took 7581 cycles
Sample 235, took 7440 cycles
Sample 236, took 55460 cycles
Sample 237, took 48046 cycles
Sample 238, took 7454 cycles
Sample 239, took 7514 cycles
Sample 240, took 7442 cycles
Sample 241, took 7532 cycles
Sample 242, took 7427 cycles
Sample 243, took 7554 cycles
Sample 244, took 7583 cycles
Sample 245, took 7401 cycles
Sample 246, took 53775 cycles
Sample 247, took 55811 cycles
Sample 248, took 7746 cycles
Sample 249, took 8052 cycles
Sample 250, took 8707 cycles
Sample 251, took 7867 cycles
Sample 252, took 8426 cycles
Sample 253, took 7827 cycles
Sample 254, took 8143 cycles
Sample 255, took 7679 cycles
Sample 256, took 8603 cycles
Sample 257, took 7696 cycles
Sample 258, took 7785 cycles
Sample 259, took 8180 cycles
Sample 260, took 8036 cycles
Sample 261, took 7871 cycles
Sample 262, took 8080 cycles
Sample 263, took 7821 cycles
Sample 264, took 9832 cycles
Sample 265, took 7738 cycles
Sample 266, took 7875 cycles
Sample 267, took 7801 cycles
Sample 268, took 7776 cycles
Sample 269, took 7659 cycles
Sample 270, took 7871 cycles
Sample 271, took 7764 cycles
Sample 272, took 7784 cycles
Sample 273, took 7694 cycles
Sample 274, took 7861 cycles
Sample 275, took 7657 cycles
Sample 276, took 7722 cycles
Sample 277, took 7738 cycles
Sample 278, took 7659 cycles
Sample 279, took 7740 cycles
Sample 280, took 7752 cycles
Sample 281, took 7693 cycles
Sample 282, took 7710 cycles
Sample 283, took 7790 cycles
Sample 284, took 7756 cycles
Sample 285, took 7716 cycles
Sample 286, took 7716 cycles
Sample 287, took 7818 cycles
Sample 288, took 7811 cycles
Sample 289, took 7750 cycles
Sample 290, took 7769 cycles
Sample 291, took 7622 cycles
Sample 292, took 7698 cycles
Sample 293, took 7813 cycles
Sample 294, took 7800 cycles
Sample 295, took 10621 cycles
Sample 296, took 9430 cycles
Sample 297, took 7840 cycles
Sample 298, took 7698 cycles
Sample 299, took 7623 cycles
Sample 300, took 7649 cycles
Sample 301, took 7690 cycles
Sample 302, took 7663 cycles
Sample 303, took 7716 cycles
Sample 304, took 7667 cycles
Sample 305, took 7673 cycles
Sample 306, took 7683 cycles
Sample 307, took 7589 cycles
Sample 308, took 7690 cycles
Sample 309, took 9063 cycles
Sample 310, took 12351 cycles
Sample 311, took 8076 cycles
Sample 312, took 9933 cycles
Sample 313, took 8048 cycles
Sample 314, took 8490 cycles
Sample 315, took 7702 cycles
Sample 316, took 7829 cycles
Sample 317, took 7771 cycles
Sample 318, took 10492 cycles
Sample 319, took 7891 cycles
Sample 320, took 6982 cycles
Sample 321, took 7008 cycles
Sample 322, took 7060 cycles
Sample 323, took 6990 cycles
Sample 324, took 7815 cycles
Sample 325, took 6972 cycles
Sample 326, took 6961 cycles
Sample 327, took 6916 cycles
Sample 328, took 6974 cycles
Sample 329, took 7032 cycles
Sample 330, took 6918 cycles
Sample 331, took 6965 cycles
Sample 332, took 6958 cycles
Sample 333, took 6949 cycles
Sample 334, took 6931 cycles
Sample 335, took 6906 cycles
Sample 336, took 6919 cycles
Sample 337, took 6895 cycles
Sample 338, took 6954 cycles
Sample 339, took 6932 cycles
Sample 340, took 7046 cycles
Sample 341, took 6903 cycles
Sample 342, took 6935 cycles
Sample 343, took 7004 cycles
Sample 344, took 6899 cycles
Sample 345, took 6899 cycles
Sample 346, took 6931 cycles
Sample 347, took 6893 cycles
Sample 348, took 6919 cycles
Sample 349, took 7016 cycles
Sample 350, took 6889 cycles
Sample 351, took 6935 cycles
Sample 352, took 7073 cycles
Sample 353, took 7044 cycles
Sample 354, took 7010 cycles
Sample 355, took 6932 cycles
Sample 356, took 6885 cycles
Sample 357, took 6898 cycles
Sample 358, took 6885 cycles
Sample 359, took 6875 cycles
Sample 360, took 6935 cycles
Sample 361, took 6962 cycles
Sample 362, took 6976 cycles
Sample 363, took 6978 cycles
Sample 364, took 7010 cycles
Sample 365, took 6998 cycles
Sample 366, took 6885 cycles
Sample 367, took 6883 cycles
Sample 368, took 6841 cycles
Sample 369, took 6901 cycles
Sample 370, took 6936 cycles
Sample 371, took 6933 cycles
Sample 372, took 6903 cycles
Sample 373, took 6833 cycles
Sample 374, took 6862 cycles
Sample 375, took 6858 cycles
Sample 376, took 6817 cycles
Sample 377, took 6799 cycles
Sample 378, took 6954 cycles
Sample 379, took 6952 cycles
Sample 380, took 6915 cycles
Sample 381, took 6863 cycles
Sample 382, took 6946 cycles
Sample 383, took 6908 cycles
Sample 384, took 6887 cycles
Sample 385, took 6869 cycles
Sample 386, took 7000 cycles
Sample 387, took 6791 cycles
Sample 388, took 6852 cycles
Sample 389, took 6916 cycles
Sample 390, took 6865 cycles
Sample 391, took 9064 cycles
Sample 392, took 7476 cycles
Sample 393, took 12305 cycles
Sample 394, took 7489 cycles
Sample 395, took 7184 cycles
Sample 396, took 7744 cycles
Sample 397, took 7244 cycles
Sample 398, took 7142 cycles
Sample 399, took 7274 cycles
Sample 400, took 7206 cycles
Sample 401, took 7034 cycles
Sample 402, took 6938 cycles
Sample 403, took 6970 cycles
Sample 404, took 6899 cycles
Sample 405, took 6992 cycles
Sample 406, took 6964 cycles
Sample 407, took 6976 cycles
Sample 408, took 6937 cycles
Sample 409, took 6976 cycles
Sample 410, took 6964 cycles
Sample 411, took 7018 cycles
Sample 412, took 6998 cycles
Sample 413, took 6868 cycles
Sample 414, took 6890 cycles
Sample 415, took 6853 cycles
Sample 416, took 6946 cycles
Sample 417, took 7203 cycles
Sample 418, took 6988 cycles
Sample 419, took 11877 cycles
Sample 420, took 8905 cycles
Sample 421, took 8879 cycles
Sample 422, took 8967 cycles
Sample 423, took 8954 cycles
Sample 424, took 8952 cycles
Sample 425, took 8939 cycles
Sample 426, took 8968 cycles
Sample 427, took 8948 cycles
Sample 428, took 8883 cycles
Sample 429, took 8869 cycles
Sample 430, took 8958 cycles
Sample 431, took 8875 cycles
Sample 432, took 8929 cycles
Sample 433, took 8982 cycles
Sample 434, took 8974 cycles
Sample 435, took 9038 cycles
Sample 436, took 8984 cycles
Sample 437, took 8956 cycles
Sample 438, took 8942 cycles
Sample 439, took 8940 cycles
Sample 440, took 8945 cycles
Sample 441, took 9008 cycles
Sample 442, took 8905 cycles
Sample 443, took 10591 cycles
Sample 444, took 12395 cycles
Sample 445, took 7925 cycles
Sample 446, took 8015 cycles
Sample 447, took 8853 cycles
Sample 448, took 7970 cycles
Sample 449, took 7770 cycles
Sample 450, took 7831 cycles
Sample 451, took 7690 cycles
Sample 452, took 7857 cycles
Sample 453, took 7838 cycles
Sample 454, took 7740 cycles
Sample 455, took 7901 cycles
Sample 456, took 7871 cycles
Sample 457, took 7815 cycles
Sample 458, took 7773 cycles
Sample 459, took 7754 cycles
Sample 460, took 7792 cycles
Sample 461, took 7829 cycles
Sample 462, took 7841 cycles
Sample 463, took 7821 cycles
Sample 464, took 7857 cycles
Sample 465, took 7730 cycles
Sample 466, took 7998 cycles
Sample 467, took 8421 cycles
Sample 468, took 7765 cycles
