Microsoft Windows [Version 10.0.19045.4412]
(c) Microsoft Corporation. All rights reserved.

C:\Users\user\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 0, took 20253 cycles
Sample 1, took 8103 cycles
Sample 2, took 11763 cycles
Sample 3, took 7735 cycles
Sample 4, took 7556 cycles
Sample 5, took 7577 cycles
Sample 6, took 7561 cycles
Sample 7, took 7583 cycles
Sample 8, took 7624 cycles
Sample 9, took 7656 cycles
Sample 10, took 7581 cycles
Sample 11, took 7533 cycles
Sample 12, took 7638 cycles
Sample 13, took 7615 cycles
Sample 14, took 7827 cycles
Sample 15, took 7703 cycles
Sample 16, took 7640 cycles
Sample 17, took 7579 cycles
Sample 18, took 7633 cycles
Sample 19, took 7681 cycles
Sample 20, took 7646 cycles
Sample 21, took 7563 cycles
Sample 22, took 7668 cycles
Sample 23, took 7557 cycles
Sample 24, took 11377 cycles
Sample 25, took 11105 cycles
Sample 26, took 8836 cycles
Sample 27, took 8515 cycles
Sample 28, took 8734 cycles
Sample 29, took 8214 cycles
Sample 30, took 10982 cycles
Sample 31, took 8414 cycles
Sample 32, took 8293 cycles
Sample 33, took 8208 cycles
Sample 34, took 8180 cycles
Sample 35, took 8173 cycles
Sample 36, took 8176 cycles
Sample 37, took 8184 cycles
Sample 38, took 8264 cycles
Sample 39, took 9185 cycles
Sample 40, took 10978 cycles
Sample 41, took 9168 cycles
Sample 42, took 8158 cycles
Sample 43, took 8125 cycles
Sample 44, took 9873 cycles
Sample 45, took 8567 cycles
Sample 46, took 8408 cycles
Sample 47, took 8414 cycles
Sample 48, took 8468 cycles
Sample 49, took 8329 cycles
Sample 50, took 8482 cycles
Sample 51, took 9534 cycles
Sample 52, took 9184 cycles
Sample 53, took 9481 cycles
Sample 54, took 8525 cycles
Sample 55, took 8252 cycles
Sample 56, took 8135 cycles
Sample 57, took 8113 cycles
Sample 58, took 8065 cycles
Sample 59, took 8386 cycles
Sample 60, took 8271 cycles
Sample 61, took 8924 cycles
Sample 62, took 8147 cycles
Sample 63, took 8055 cycles
Sample 64, took 8161 cycles
Sample 65, took 8198 cycles
Sample 66, took 8121 cycles
Sample 67, took 8069 cycles
Sample 68, took 8180 cycles
Sample 69, took 8194 cycles
Sample 70, took 8103 cycles
Sample 71, took 8107 cycles
Sample 72, took 8097 cycles
Sample 73, took 8061 cycles
Sample 74, took 8092 cycles
Sample 75, took 8019 cycles
Sample 76, took 8132 cycles
Sample 77, took 8124 cycles
Sample 78, took 12971 cycles
Sample 79, took 15336 cycles
Sample 80, took 57173 cycles
Sample 81, took 10496 cycles
Sample 82, took 10135 cycles
Sample 83, took 9973 cycles
Sample 84, took 55795 cycles
Sample 85, took 10151 cycles
Sample 86, took 11016 cycles
Sample 87, took 13049 cycles
Sample 88, took 12753 cycles
Sample 89, took 11623 cycles
Sample 90, took 10228 cycles
Sample 91, took 9904 cycles
Sample 92, took 9923 cycles
Sample 93, took 9957 cycles
Sample 94, took 11426 cycles
Sample 95, took 11550 cycles
Sample 96, took 9103 cycles
Sample 97, took 16563 cycles
Sample 98, took 12755 cycles
Sample 99, took 11902 cycles
Sample 100, took 11184 cycles
Sample 101, took 10203 cycles
Sample 102, took 10023 cycles
Sample 103, took 9881 cycles
